generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat
124,0.037683453410863876,0.0436115488409996,4,0,4,1.0,-0.0037683453410863876,-0.0043611545115709305,20,0.95,0.5099999904632568,0.6200000047683716,0.7199999690055847,0.5199999809265137
125,0.037683453410863876,0.04326596111059189,4,0,4,1.0,-0.0037683453410863876,-0.004326595924794674,21,0.95,0.5099999904632568,0.6200000047683716,0.7199999690055847,0.5199999809265137
126,0.03675514832139015,0.04203549027442932,4,0,4,1.0,-0.0037683453410863876,-0.0042216964066028595,22,0.95,0.5099999904632568,0.6200000047683716,0.7199999690055847,0.5199999809265137
127,0.03728998079895973,0.041195809841156006,3,0,3,0.75,-0.003728998126462102,-0.004150891676545143,14,0.95,0.47999998927116394,0.6200000047683716,0.7099999785423279,0.5199999809265137
128,0.034706443548202515,0.04048570990562439,4,0,4,1.0,-0.0034706443548202515,-0.004064731299877167,15,0.95,0.5099999904632568,0.6200000047683716,0.6800000071525574,0.5099999904632568
129,0.034706443548202515,0.03966802358627319,4,0,4,1.0,-0.0034706443548202515,-0.003966802265495062,16,0.95,0.5099999904632568,0.6200000047683716,0.6800000071525574,0.5099999904632568
130,0.034706443548202515,0.03963247686624527,4,0,4,1.0,-0.0034706443548202515,-0.003963247872889042,17,0.95,0.5099999904632568,0.6200000047683716,0.6800000071525574,0.5099999904632568
131,0.034706443548202515,0.03957854211330414,4,0,4,1.0,-0.0034706443548202515,-0.003961883019655943,18,0.95,0.5099999904632568,0.6200000047683716,0.6800000071525574,0.5099999904632568
132,0.034706443548202515,0.03954935446381569,4,0,4,1.0,-0.0034706443548202515,-0.003954935818910599,19,0.95,0.5099999904632568,0.6200000047683716,0.6800000071525574,0.5099999904632568
133,0.034601520746946335,0.03938501328229904,2,1,3,0.5,-0.0034601520746946335,-0.003938501235097647,20,0.95,0.4899999797344208,0.6800000071525574,0.7400000095367432,0.47999998927116394
